source_id,state,data_year,url,locator,territory,carrier,profile_id,annual_premium
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'California Casualty Indemnity Exchange' / 'Plan 2' = $1,440 (6-month, x2)",Alamosa (81101),California Casualty Indemnity Exchange,co-A-P2,2880
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'California Casualty Indemnity Exchange' / 'Plan 3' = $1,289 (6-month, x2)",Alamosa (81101),California Casualty Indemnity Exchange,co-A-P3,2578
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Central Mutual Insurance Company' / 'Plan 1' = $841 (6-month, x2)",Alamosa (81101),Central Mutual Insurance Company,co-A-P1,1682
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Central Mutual Insurance Company' / 'Plan 2' = $1,021 (6-month, x2)",Alamosa (81101),Central Mutual Insurance Company,co-A-P2,2042
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Central Mutual Insurance Company' / 'Plan 3' = $1,103 (6-month, x2)",Alamosa (81101),Central Mutual Insurance Company,co-A-P3,2206
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Chubb National Insurance Company' / 'Plan 1' = $1,891 (6-month, x2)",Alamosa (81101),Chubb National Insurance Company,co-A-P1,3782
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Chubb National Insurance Company' / 'Plan 2' = $2,113 (6-month, x2)",Alamosa (81101),Chubb National Insurance Company,co-A-P2,4226
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Chubb National Insurance Company' / 'Plan 3' = $2,312 (6-month, x2)",Alamosa (81101),Chubb National Insurance Company,co-A-P3,4624
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Colorado Farm Bureau Insurance' / 'Plan 1' = $1,340 (6-month, x2)",Alamosa (81101),Colorado Farm Bureau Insurance,co-A-P1,2680
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Colorado Farm Bureau Insurance' / 'Plan 2' = $1,556 (6-month, x2)",Alamosa (81101),Colorado Farm Bureau Insurance,co-A-P2,3112
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Colorado Farm Bureau Insurance' / 'Plan 3' = $1,632 (6-month, x2)",Alamosa (81101),Colorado Farm Bureau Insurance,co-A-P3,3264
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Encompass Indemnity Company' / 'Plan 1' = $1,888 (6-month, x2)",Alamosa (81101),Encompass Indemnity Company,co-A-P1,3776
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Encompass Indemnity Company' / 'Plan 2' = $2,290 (6-month, x2)",Alamosa (81101),Encompass Indemnity Company,co-A-P2,4580
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Encompass Indemnity Company' / 'Plan 3' = $2,585 (6-month, x2)",Alamosa (81101),Encompass Indemnity Company,co-A-P3,5170
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Executive Risk Indemnity Inc.' / 'Plan 1' = $1,891 (6-month, x2)",Alamosa (81101),Executive Risk Indemnity Inc.,co-A-P1,3782
co-2023,CO,2023,http://www.dora.state.co.us/pls/real/Ins_Survey_Reports.Report_Selection_Criteria?p_report_id=AUTO&p_label=,"raw/Alamosa__81101__Driver_A.html (report 'Auto Premiums for Alamosa (81101)', column 'Driver A'), row 'Executive Risk Indemnity Inc.' / 'Plan 2' = $2,113 (6-month, x2)",Alamosa (81101),Executive Risk Indemnity Inc.,co-A-P2,4226
